StateFP,Year,monetary_drought,rate_drought,monetary_flood,rate_flood,monetary_smoke,rate_smoke,State,ObjectId
6,2016,11924.42552,32.00078967,1677.576766,4.502001473,10571.00132,42.83345418,California,102
6,2017,6631.771421,17.70741301,2781.618899,7.427167123,14751.19224,45.76499015,California,103
6,2018,12411.87691,33.04752115,1370.738346,3.649690117,16951.40984,57.75186681,California,104
6,2020,6300.6135,16.78908224,1515.133457,4.037337033,13812.40231,71.42178509,California,105
6,2019,7450.572895,19.83159111,2463.006767,6.555917754,13791.83442,63.4103912,California,106
8,2008,946.9601393,20.38558666,78.26775058,1.684900922,801.9845568,15.25213708,Colorado,107
8,2009,950.1643117,20.11532049,59.51233953,1.259897649,433.7963882,9.022442181,Colorado,108
8,2010,689.3575421,14.37747246,94.86217245,1.978477334,591.4296669,10.83513261,Colorado,109
8,2007,1560.301691,34.18959124,82.51280378,1.808034337,778.085351,13.21091213,Colorado,110
8,2012,1037.793135,21.05235843,141.4596163,2.869607098,2282.826504,43.12994131,Colorado,111
8,2013,2722.216064,54.4370904,176.0931659,3.521395572,2776.621571,50.24141438,Colorado,112
8,2014,1205.018476,23.73898175,405.0193022,7.978919836,1403.507061,22.04166665,Colorado,113
8,2011,911.848112,18.74882176,151.4297682,3.113599398,918.723777,19.61062608,Colorado,114
8,2016,202.7876884,3.860466033,318.2126368,6.057808958,2181.235023,29.36862835,Colorado,115
8,2017,758.4187193,14.25566767,78.91533557,1.483337329,2187.290528,32.51243664,Colorado,116
8,2018,576.880757,10.69627255,48.85167504,0.90578655,3423.154379,59.3193634,Colorado,117
8,2015,307.2460591,5.942381467,572.5577614,11.07371935,1361.286207,19.61774931,Colorado,118
8,2020,682.2354685,12.41340386,53.0042316,0.964422056,1397.442634,27.75157313,Colorado,119
8,2019,389.5441562,7.148846703,60.12235864,1.103355084,2202.826381,38.92433621,Colorado,120
9,2007,716.7314067,21.38917952,117.0821484,3.494044028,1133.808162,33.50279361,Connecticut,121
9,2008,794.407596,23.58482274,137.9042521,4.094179557,1353.451774,36.69227294,Connecticut,122
9,2009,531.8642959,15.71834615,117.0989548,3.460660773,518.2774945,13.66361486,Connecticut,123
